iter	MultiClass
0	1.019813456
1	0.9511488264
2	0.8907392873
3	0.8370764679
4	0.7889102893
5	0.7453811623
6	0.7062655159
7	0.6702751474
8	0.6377809264
9	0.6078901347
10	0.5803323759
11	0.5552661447
12	0.5320348871
13	0.5104029232
14	0.4904377013
15	0.4713889773
16	0.4538033259
17	0.4369258646
18	0.4217699386
19	0.4070548954
20	0.3934743661
21	0.3808291912
22	0.3686218357
23	0.3571983589
24	0.3467142664
25	0.3366248489
26	0.3275554996
27	0.3184826453
28	0.310033325
29	0.3020035325
30	0.2943153368
31	0.2872585969
32	0.2804892078
33	0.2742268306
34	0.2683485457
35	0.2624712946
36	0.256985313
37	0.2520411635
38	0.2472018434
39	0.2423288947
40	0.2378478437
41	0.2337905103
42	0.2297697913
43	0.2260468265
44	0.2222728166
45	0.218590923
46	0.2155881199
47	0.2125499092
48	0.2093107665
49	0.2063419879
50	0.2034648463
51	0.2011689193
52	0.1984774308
53	0.1961613367
54	0.1937146658
55	0.1914572203
56	0.1892453066
57	0.1870053507
58	0.185057011
59	0.1836466188
60	0.1818299812
61	0.1800157897
62	0.1782151513
63	0.1769746015
64	0.1755392823
65	0.1739230628
66	0.1724764611
67	0.1710345036
68	0.1695876457
69	0.1684432731
70	0.1673652466
71	0.1662087323
72	0.1648838891
73	0.163662313
74	0.1624862383
75	0.1612958331
76	0.160192104
77	0.1595072058
78	0.1587863814
79	0.1580106571
80	0.1573170363
81	0.1564634407
82	0.1556014312
83	0.1548228796
84	0.1543432794
85	0.1536578613
86	0.1529559661
87	0.1524129146
88	0.1517416899
89	0.1511078771
90	0.1506802179
91	0.1498305542
92	0.1493572747
93	0.1487687223
94	0.1482928109
95	0.147810274
96	0.1473287398
97	0.1467535451
98	0.1463540733
99	0.1459074203
100	0.1455118345
101	0.1451559587
102	0.1447022376
103	0.1442525561
104	0.1436917082
105	0.1432853882
106	0.1428190687
107	0.142362994
108	0.1419191575
109	0.1416138725
110	0.1411596426
111	0.1408161349
112	0.1405841048
113	0.1402444534
114	0.1397799378
115	0.1395042582
116	0.139256355
117	0.1388497097
118	0.1385633012
119	0.1381144151
120	0.1378544981
121	0.1376555685
122	0.1374327012
123	0.1372193075
124	0.1367724522
125	0.13643198
126	0.1360876208
127	0.1357524715
128	0.1356030317
129	0.1353837714
130	0.1351762576
131	0.1350125217
132	0.1347236698
133	0.1344236354
134	0.1341159197
135	0.1338191156
136	0.1336305822
137	0.1334915892
138	0.1332086581
139	0.1330245285
140	0.1327793187
141	0.132501287
142	0.1322448617
143	0.1320297009
144	0.131850266
145	0.1316363229
146	0.1312234175
147	0.1310802578
148	0.1307828756
149	0.1305695697
150	0.1302945835
151	0.1301965326
152	0.129812136
153	0.1296488305
154	0.1295400222
155	0.1293608216
156	0.1290795693
157	0.1289019653
158	0.1286682459
159	0.1283891276
160	0.1282406109
161	0.1280150359
162	0.1278610094
163	0.1276143027
164	0.1274293099
165	0.1271153608
166	0.1269083944
167	0.1268028913
168	0.1266763578
169	0.1264962433
170	0.1263205468
171	0.1262535756
172	0.1261136525
173	0.1259026414
174	0.1257958876
175	0.1256782077
176	0.1255353082
177	0.1254152905
178	0.1252716894
179	0.1251209115
180	0.1248562607
181	0.1247943921
182	0.1245841912
183	0.1244141101
184	0.1242580632
185	0.1240202168
186	0.1239151144
187	0.1237773006
188	0.1236495088
189	0.1235256669
190	0.1234422528
191	0.1233079284
192	0.1231099909
193	0.1229346544
194	0.1228071675
195	0.1226834747
196	0.1225694152
197	0.1224228694
198	0.1222855861
199	0.1222049636
200	0.1220341794
201	0.1219319147
202	0.1218276689
203	0.1217264521
204	0.1216082957
205	0.1214292523
206	0.1212768173
207	0.1211532427
208	0.1209653122
209	0.1209105514
210	0.1207722062
211	0.1207148324
212	0.1205604689
213	0.1204857239
214	0.12039471
215	0.1202808886
216	0.1201603663
217	0.1199049895
218	0.1197781764
219	0.1195750034
220	0.1194319712
221	0.1192764507
222	0.1191684638
223	0.1190502069
224	0.1188542949
225	0.1187534012
226	0.118661035
227	0.1185618419
228	0.1184465851
229	0.1183753042
230	0.1182380877
231	0.11814888
232	0.1180759896
233	0.1179130397
234	0.1178430515
235	0.1177567108
236	0.117637396
237	0.11758089
238	0.1174632213
239	0.1173212396
240	0.1172040231
241	0.1170895281
242	0.1169710839
243	0.1168729869
244	0.1167552336
245	0.1166543936
246	0.1165696965
247	0.1164718623
248	0.1163272702
249	0.1162124708
250	0.1161478635
251	0.1160668249
252	0.1159591942
253	0.1158409353
254	0.1157683509
255	0.1156955024
256	0.115591329
257	0.1155406155
258	0.1155046004
259	0.1154159999
260	0.115323319
261	0.1152084875
262	0.1151522311
263	0.1149842701
264	0.1148920298
265	0.114856188
266	0.114818429
267	0.1147766875
268	0.1147282461
269	0.1145994974
270	0.114516084
271	0.1144363079
272	0.1143804854
273	0.1142825501
274	0.1141249659
275	0.1140803317
276	0.1140440757
277	0.1140046849
278	0.1139377249
279	0.113812078
280	0.1137565825
281	0.1136898278
282	0.1135943207
283	0.1134752649
284	0.1133282303
285	0.1132604468
286	0.113205768
287	0.1131695388
288	0.1130969697
289	0.1130532614
290	0.1129568744
291	0.1128860417
292	0.1127905172
293	0.1127271764
294	0.112686361
295	0.1125873965
296	0.1125372578
297	0.1124572437
298	0.1123678865
299	0.1122796614
300	0.1122336646
301	0.112174216
302	0.1120912243
303	0.1120228082
304	0.111977442
305	0.1119505325
306	0.1118818586
307	0.1118259886
308	0.1117220577
309	0.1116695324
310	0.1115811249
311	0.1114661453
312	0.1113461164
313	0.1112611661
314	0.1111520195
315	0.1110865033
316	0.111016265
317	0.1109169194
318	0.1108717394
319	0.1107569485
320	0.1106831075
321	0.1106344042
322	0.1105266719
323	0.1104495038
324	0.1103969512
325	0.1103412219
326	0.1103047453
327	0.1102457233
328	0.1101789236
329	0.1101035104
330	0.1100454994
331	0.1099652856
332	0.1099405074
333	0.1098721769
334	0.1097661038
335	0.1097369449
336	0.1096586628
337	0.1095677585
338	0.1095073987
339	0.1094373767
340	0.1094168504
341	0.1093524323
342	0.1092694794
343	0.1092322374
344	0.1091593487
345	0.1091357374
346	0.1090755043
347	0.109008888
348	0.1089890108
349	0.1089229249
350	0.1088340975
351	0.108807343
352	0.1087375194
353	0.1086737099
354	0.1086294236
355	0.1085504427
356	0.1084855723
357	0.1084387823
358	0.1083798361
359	0.1083066401
360	0.1082653001
361	0.1081816232
362	0.1081122675
363	0.1080474316
364	0.107978448
365	0.1078858022
366	0.107823838
367	0.107799132
368	0.1077404777
369	0.1077233869
370	0.1076699411
371	0.1076233609
372	0.1075862678
373	0.1075521301
374	0.1074925344
375	0.1074632249
376	0.1073954148
377	0.1073411486
378	0.1073029032
379	0.107267773
380	0.1072012195
381	0.1071291442
382	0.1070973062
383	0.1070515183
384	0.1069853619
385	0.1069418739
386	0.1068852301
387	0.1068370666
388	0.1067985311
389	0.1067684479
390	0.1067143575
391	0.1066485191
392	0.1066204186
393	0.1065700238
394	0.1065310836
395	0.106476457
396	0.106426571
397	0.1063469833
398	0.1062847784
399	0.1062378433
400	0.1062092354
401	0.1061541144
402	0.1061196998
403	0.1060994091
404	0.106053808
405	0.1060087713
406	0.1059140014
407	0.1058652297
408	0.1058225042
409	0.1058042794
410	0.1057504842
411	0.1056864425
412	0.105625935
413	0.105586716
414	0.1055678234
415	0.105536841
416	0.1054471902
417	0.1053935218
418	0.1053747488
419	0.1053458661
420	0.1053236958
421	0.1052820913
422	0.1052528351
423	0.1051731021
424	0.1051240691
425	0.1050666406
426	0.1050422644
427	0.1050000755
428	0.1049675938
429	0.1049171259
430	0.104892319
431	0.1048711221
432	0.1048321002
433	0.1047573139
434	0.1047192958
435	0.1047021782
436	0.1046723712
437	0.1046278583
438	0.1046080137
439	0.1045859373
440	0.104524613
441	0.1044967885
442	0.1044395218
443	0.1043798685
444	0.1043397037
445	0.104326063
446	0.1043002728
447	0.104254061
448	0.1041902621
449	0.1041689006
450	0.104141502
451	0.1040879719
452	0.1040668617
453	0.1040291974
454	0.1039782506
455	0.1039580923
456	0.1039320879
457	0.1039136968
458	0.1038839475
459	0.1038461518
460	0.1038021534
461	0.1037443693
462	0.1036848611
463	0.1036684867
464	0.1036224149
465	0.1035997481
466	0.1035693434
467	0.1035118329
468	0.1034660901
469	0.1034428157
470	0.1034096461
471	0.1033724812
472	0.1033204631
473	0.1032704238
474	0.1032105578
475	0.1031814915
476	0.1031458581
477	0.1031126128
478	0.103083792
479	0.1030608069
480	0.1030178032
481	0.1029692401
482	0.1029442068
483	0.1029141098
484	0.1028676123
485	0.1028111497
486	0.1027774451
487	0.1027268786
488	0.102690735
489	0.1026548274
490	0.1026231823
491	0.1025940267
492	0.1025776009
493	0.1025448186
494	0.1025220406
495	0.1024896196
496	0.1024566494
497	0.1024235119
498	0.1023786009
499	0.1023572492
500	0.1023392868
501	0.1022981689
502	0.1022792918
503	0.1022349095
504	0.1021950196
505	0.1021805861
506	0.1021577733
507	0.1021312263
508	0.1020893904
509	0.1020737559
510	0.1020548365
511	0.1020099479
512	0.1019767688
513	0.1019431098
514	0.1019183236
515	0.1018742669
516	0.1018286703
517	0.1017804084
518	0.1017550398
519	0.1017005887
520	0.1016732189
521	0.1016185145
522	0.1015895484
523	0.1015571011
524	0.1015320677
525	0.1015055929
526	0.1014910302
527	0.1014507094
528	0.1014048445
529	0.1013896629
530	0.1013545906
531	0.1013183178
532	0.1012706136
533	0.1012418965
534	0.1012129933
535	0.1011903579
536	0.1011599846
537	0.1011297205
538	0.1011152003
539	0.1010989428
540	0.1010880579
541	0.1010674822
542	0.1010251671
543	0.1010023967
544	0.1009709838
545	0.1009532026
546	0.100919672
547	0.1008937806
548	0.1008631164
549	0.1008280875
550	0.1007845543
551	0.1007437288
552	0.100700065
553	0.1006730709
554	0.1006421468
555	0.1006279779
556	0.1005895484
557	0.1005192049
558	0.1005045528
559	0.1004809009
560	0.1004451268
561	0.1004188507
562	0.1003836883
563	0.1003381611
564	0.1003125054
565	0.1002822457
566	0.1002456004
567	0.1002126087
568	0.1001890209
569	0.1001707822
570	0.1001618407
571	0.1001284311
572	0.1000739569
573	0.1000322653
574	0.1000006462
575	0.09998215431
576	0.09994559199
577	0.09993787508
578	0.09992525612
579	0.09989749479
580	0.09987786067
581	0.09983744942
582	0.09981999629
583	0.09979958569
584	0.09976218455
585	0.09974741579
586	0.09971187155
587	0.09969531565
588	0.09965691987
589	0.09964742284
590	0.09962561943
591	0.09961121013
592	0.0995952362
593	0.09955241992
594	0.09950090572
595	0.09946144364
596	0.09944859368
597	0.09943290503
598	0.09939866189
599	0.09936029045
600	0.09933263465
601	0.09930494712
602	0.09925531984
603	0.09921764897
604	0.09919011998
605	0.09915608803
606	0.09910610858
607	0.09906994488
608	0.09903481612
609	0.09901611186
610	0.09899782699
611	0.09897116632
612	0.09893763815
613	0.09890857331
614	0.09889126355
615	0.09886633993
616	0.09884180726
617	0.09882303381
618	0.09880710836
619	0.09877593021
620	0.09875619032
621	0.09873293016
622	0.09871317407
623	0.09868702186
624	0.09866849044
625	0.09863568181
626	0.09862586672
627	0.09859743205
628	0.09856218007
629	0.09854278348
630	0.09849929071
631	0.09846895402
632	0.09843638584
633	0.09839630073
634	0.09836890125
635	0.09835643685
636	0.09831362739
637	0.0982761706
638	0.09826087266
639	0.09822640553
640	0.09819755084
641	0.09818177159
642	0.09816423889
643	0.09813336736
644	0.09810720905
645	0.09808746455
646	0.09804455153
647	0.09800567316
648	0.09798985329
649	0.09794333774
650	0.09791606514
651	0.09788864044
652	0.09785202274
653	0.09783609269
654	0.097817104
655	0.0977913777
656	0.09775153181
657	0.09771922576
658	0.09769800647
659	0.09766962208
660	0.09765278659
661	0.09762437694
662	0.0976091183
663	0.09760063699
664	0.09757965558
665	0.09757052184
666	0.09755278938
667	0.09753235652
668	0.09751080086
669	0.09749554512
670	0.09747511062
671	0.09745944919
672	0.09743486468
673	0.09739204966
674	0.09735044279
675	0.0973356061
676	0.09732444569
677	0.09731274712
678	0.09729855578
679	0.09726895931
680	0.09724041459
681	0.09721852578
682	0.09720848204
683	0.09719773189
684	0.09716886502
685	0.09715114887
686	0.09711521291
687	0.09708927286
688	0.09707573429
689	0.09705586849
690	0.09704003589
691	0.09701225685
692	0.09698064862
693	0.09695823144
694	0.09694646574
695	0.09692769318
696	0.09691286672
697	0.09690232397
698	0.09687764924
699	0.09685649765
700	0.09682661265
701	0.09680972467
702	0.09679944405
703	0.09679178862
704	0.09677180346
705	0.09674252769
706	0.09671998494
707	0.09669038251
708	0.09665950444
709	0.09662986711
710	0.09658757446
711	0.09656184839
712	0.0965484544
713	0.09653148473
714	0.09651379444
715	0.09647665502
716	0.09643495793
717	0.09639551363
718	0.09637241672
719	0.09635089642
720	0.09633363732
721	0.0963202435
722	0.09628689408
723	0.09626188772
724	0.09623277934
725	0.0962137462
726	0.09619345575
727	0.0961678613
728	0.09614519885
729	0.09612468814
730	0.0961021849
731	0.0960830565
732	0.09607029267
733	0.09605861338
734	0.09604359274
735	0.09602138814
736	0.09598445163
737	0.0959705487
738	0.09595598967
739	0.09592835043
740	0.0959083818
741	0.09588998618
742	0.09586142655
743	0.0958536823
744	0.09584199669
745	0.09578966853
746	0.09577438642
747	0.09575511719
748	0.09571710532
749	0.09570466627
750	0.0956846395
751	0.09566789581
752	0.0956466993
753	0.09562846176
754	0.0956122514
755	0.09560096268
756	0.09559098593
757	0.09557458328
758	0.09554613673
759	0.09553389691
760	0.09552086339
761	0.09550251763
762	0.0954920876
763	0.09548521527
764	0.09546158904
765	0.09545099861
766	0.0954400653
767	0.09541604586
768	0.09539746936
769	0.09537920644
770	0.09535348326
771	0.09530918724
772	0.09528414378
773	0.09526079285
774	0.09524677764
775	0.09522980228
776	0.0952144343
777	0.09519395888
778	0.09517101492
779	0.09515505907
780	0.09513714783
781	0.09511797629
782	0.09511022388
783	0.09510402297
784	0.09509053594
785	0.09505872175
786	0.0950468371
787	0.09501992499
788	0.09500368902
789	0.09498072824
790	0.09497378151
791	0.09496338228
792	0.09494374657
793	0.0949277661
794	0.09491847901
795	0.09490596065
796	0.09488086088
797	0.09485046774
798	0.09484446838
799	0.09482018879
800	0.09479956748
801	0.09478568218
802	0.09476208527
803	0.09473716395
804	0.09472658275
805	0.09471310065
806	0.09470377684
807	0.09468917689
808	0.09468237983
809	0.09465181681
810	0.09461580868
811	0.0945916527
812	0.09456603318
813	0.09454373372
814	0.09449695893
815	0.0944848916
816	0.09447214514
817	0.0944325048
818	0.09441026147
819	0.09439019348
820	0.09437153124
821	0.09433409895
822	0.09431836927
823	0.09430609494
824	0.09428412468
825	0.09425889749
826	0.09425101195
827	0.09423750434
828	0.09421830588
829	0.09419950187
830	0.09418625401
831	0.09416484169
832	0.09415075409
833	0.09414156199
834	0.09412890996
835	0.09411896399
836	0.09410290312
837	0.0940737871
838	0.09405400892
839	0.09404417708
840	0.09402407592
841	0.09400623076
842	0.09397837155
843	0.09395789107
844	0.09394007563
845	0.09392644622
846	0.09391304469
847	0.09389702098
848	0.09387753239
849	0.09386006863
850	0.09384287365
851	0.09382991264
852	0.09379664407
853	0.0937665594
854	0.09375502589
855	0.09373530074
856	0.09372064412
857	0.09370566378
858	0.09368835432
859	0.09366465469
860	0.09363918811
861	0.09361796213
862	0.09358556055
863	0.09356785191
864	0.09355957247
865	0.09352833757
866	0.09349933667
867	0.09348586976
868	0.09347019339
869	0.09344215296
870	0.09342721587
871	0.09341702815
872	0.09339206996
873	0.09337123272
874	0.09335243474
875	0.09333137703
876	0.09331247557
877	0.09328855303
878	0.09327367279
879	0.09325773744
880	0.09324991194
881	0.09323214343
882	0.09321542377
883	0.09320299084
884	0.09319059526
885	0.09317638424
886	0.0931694588
887	0.0931627941
888	0.09315181616
889	0.09313686705
890	0.09312947841
891	0.09311497151
892	0.09310537297
893	0.0930946048
894	0.09306133522
895	0.09305182522
896	0.09302866381
897	0.09301130721
898	0.09299789757
899	0.092977732
900	0.09296419629
901	0.09295128311
902	0.09293855391
903	0.0929282407
904	0.09291814899
905	0.09290467188
906	0.09288818982
907	0.09287059516
908	0.09285896778
909	0.09283698619
910	0.0928139667
911	0.09279223297
912	0.09277503622
913	0.09274397085
914	0.09273857966
915	0.09269700463
916	0.09266992675
917	0.09266434036
918	0.09265067114
919	0.09262985464
920	0.09260021842
921	0.09259234224
922	0.09257694583
923	0.0925576069
924	0.09254570131
925	0.09252867698
926	0.09252106247
927	0.09250840036
928	0.09249827664
929	0.09249167875
930	0.09247039093
931	0.09246056354
932	0.09244706354
933	0.09242835637
934	0.09241611271
935	0.09240226852
936	0.09238241557
937	0.0923697632
938	0.09236483604
939	0.09235503449
940	0.09234381499
941	0.09233341614
942	0.09230444753
943	0.0922808745
944	0.09226592303
945	0.09224917524
946	0.09223736007
947	0.09222091904
948	0.09220798559
949	0.092185903
950	0.0921650104
951	0.09215203195
952	0.09211783422
953	0.09210591747
954	0.09209169257
955	0.09208327982
956	0.09205032971
957	0.09203387185
958	0.09201479986
959	0.09200280676
960	0.09198751004
961	0.09197514506
962	0.09196253701
963	0.0919470778
964	0.09193057973
965	0.09191468727
966	0.09190021917
967	0.0918800188
968	0.09185732055
969	0.09184619463
970	0.09183862706
971	0.09182893059
972	0.09181653969
973	0.09178918937
974	0.09178190432
975	0.0917682209
976	0.09174733176
977	0.09173783315
978	0.09172803782
979	0.09171543921
